STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,LAT,LNG,LATFORMAT,LNGFORMAT,STATE
701043,26623,20130404,8,24,1.4,24,9999.9,0,1034.5,24,999.9,0,6.5,24,12,999.9,   15.8*,  -0.4*, 0.00I,999.9,0,68350,-166800,68.35,-166.8,AK
701043,26623,20130405,15.6,9,5.6,9,9999.9,0,1031.2,9,999.9,0,15.5,9,35.9,41,   19.4*,  10.4*, 0.00I,999.9,0,68350,-166800,68.35,-166.8,AK
701045,26649,20130403,16.2,8,-0.4,8,9999.9,0,994.8,8,15,8,11,8,19,999.9,   23.0*,   5.0*, 0.00I,999.9,0,68067,-162833,68.067,-162.833,AK
701045,26649,20130404,12,4,-1.6,4,9999.9,0,997.3,4,13.8,4,8.8,4,20,999.9,   15.1*,  10.4*, 0.00I,5.1,0,68067,-162833,68.067,-162.833,AK
701170,26634,20130402,7.5,21,4.1,21,1021.6,21,9999.9,0,10,21,7.2,21,17.1,999.9,   14.0*,  -2.2*,99.99,999.9,1000,65567,-167917,65.567,-167.917,AK
701170,26634,20130403,7.9,24,4.6,24,1023.9,24,1013.2,7,9.6,24,19.7,24,29.9,34,14.2,1,99.99,999.9,1000,65567,-167917,65.567,-167.917,AK
701170,26634,20130404,12.3,24,7.9,24,1027.1,24,9999.9,0,9.5,24,19,24,29.9,33,20.3,4.1,99.99,999.9,1000,65567,-167917,65.567,-167.917,AK
701195,26625,20130402,-3.6,24,-17.2,21,9999.9,0,1023.4,24,10,24,4.2,24,8,999.9,6.8,-14.8, 0.00I,999.9,0,66250,-166083,66.25,-166.083,AK
701195,26625,20130403,4.2,24,-10.4,21,9999.9,0,1027.3,24,9.8,24,6.9,24,17.1,22,15.8,-4, 0.00I,999.9,0,66250,-166083,66.25,-166.083,AK
701195,26625,20130404,11.4,24,5.7,24,9999.9,0,1031.1,24,10,24,11.7,24,17.1,20,17.6,5, 0.00I,999.9,0,66250,-166083,66.25,-166.083,AK
701195,26625,20130405,14.8,9,8.2,9,9999.9,0,1028.3,9,10,9,9.8,9,12,999.9,   19.4*,   6.8*, 0.00I,999.9,0,66250,-166083,66.25,-166.083,AK
701196,99999,20130402,17.5,24,9,24,1028.3,24,9999.9,0,10,24,2.9,24,6,999.9,   33.8*,   8.6*, 0.00I,999.9,0,66983,-160433,66.983,-160.433,AK
